path	review	decision	current_issue_or_closure_evidence	input_sha256
evidence/E-028.md	read	delete-stale	Finite 9-cycle old kpd_call_state workaround does not prove WI-080 solved; preserve USB-prevents-suspend measurement rule and current kernel-owned KP_EN decision.	7232885ed057ee403975b1be3fe37b7dbe9262104fb275e8349b93293024aadf
evidence/E-029.md	read	consolidate-open	Original dial-wedge observation matters WI-020, but printed *99 identity and Netherlands emergency routing reasoning explicitly withdrawn by E-040/E-041; remove wrong narrative.	86b309170bc78e365564547d8e9d599c5fc19309bc3f712bbbd433c4964e35c3
evidence/E-030.md	read	delete-stale	Historical build/Go/FDE/GApps state and AVC zero claim corrected by E-035 and superseded by latest runtime; tool fixes complete.	8381235f7193e94940840a1f7cf68aec50104f64eb779d9f6c0e3dd1930d6644
evidence/E-031.md	read	consolidate-baseline	PowerHAL HOLD_TIME ineffectiveness and subsecond hints explain current kernel screen-on request; no active issue.	bb14bb21a4e5c668d00827f4c0cb8989e6c42373e786bb024797f3b75d023de2
evidence/E-032.md	read	consolidate-baseline	PPM range-intersection prevents automatic release of permanent pin; retain one hardware/source design note, not old experiment narrative.	af5ffe5c883d8f5e794c9aadb3c28288ea02dee1803c254c120243214e4653e9
evidence/E-033.md	read	delete-stale	Old 4-sample Settings timing and modeled power comparison no longer current source/runtime; current screen-on policy already selected.	b106afe89ec41e0d7ff3c5311047c01fe320abbe68738ab1375bc4adafc24b44
evidence/E-035.md	read	delete-closed	AVC flexible-whitespace collection fixed; preserve single measurement rule in sepolicy notes. VSIM-removal status itself became obsolete later.	13ad0cf061934714ca111c8ef43f339e3d07ac4058b0aa6c4ee3472e33604aa5
evidence/E-037.md	read	delete-stale	Old perfd/userdebug/VSIM/debugfs status obsolete; actual wake support constraint KEY_MASK_VOLUME=64 retained in config/hardware notes. Finite boot is not WI-080 proof.	06214e8ba91f42fe2c949749d9987f3cd4df98e6816439cf671b42b59d183ee9
evidence/E-038.md	read	delete-stale	Explicitly superseded by MindTheGapps/current AOSP app roles; NikGapps app removal no longer applies.	158a5fa9042db01c881e7e00f7eb3404b895ea1adee80eb331d504d8514dccde
evidence/E-039.md	read	delete-stale	Obsolete userspace-perfd battery estimate assumes 2800mAh and extrapolates idle runtime from uncalibrated readings; E-176/E-187 and current source policy supersede.	8db1d522c5d6955797fc826f220efd0d571a44eb9feef57d0ad6498fe95c1493
evidence/E-040.md	read	consolidate-open	Useful Telecom redaction lesson and no-emergency-retest boundary for WI-020, but owner question answered by E-041 and implementation conclusion superseded by E-048.	577ac845cb97a43f8d830fe60eeb52881bd46e48bc54e6bebdf6c4e934911ad7
evidence/E-041.md	read	consolidate-open	Owner emergency-wedge baseline retained under WI-020; no-SIM ordinary refusal does not prove current ordinary-call behavior; E-048 supersedes no-device-tree-fix statement.	9decded04a7006fc4a7945d4f478a86b7346aa9087944761c224e564d921a6e5
evidence/E-042.md	read	delete-closed	Go product removal fixes duplicate product-list false false; current product comments preserve the actual inheritance constraint.	e0d05b973d15f5df06cfefa0ae9aecf500b98d829845f4203574b933a0445ae3
evidence/E-043.md	read	delete-closed	Legacy IMS factory property/jar repair complete; old accepted four-class gap explicitly closed by E-065; retain current md_auto_setup_ims/add_on constraints in IMS notes/source.	34d2246cd624027e3cf8f94832a4161d6739913e20b31d8f398a5131362aee0b
evidence/E-044.md	read	consolidate-baseline	HW_reboot is ordinary warm reboot; predecessor pstore must be measured. Current orphan handling/orderly pstore E-209 supersedes old unowned fault record.	60e388c60ddfa03d6b1338d926a2181d63b91a450f292892f1a1ad5407a578a9
evidence/E-045.md	read	delete-stale	Entire NVRAM-readiness/timing causal explanation explicitly disproved by E-047; current source connectivity lifetime and boot E-209 supersede.	2d90501085a7d9a1eaf2945ef719016402aa972ba9a5449bb02dc84320e7a5d5
evidence/E-046.md	read	delete-stale	Privileged Huawei packaging explicitly removed by E-122; UI/account fixture remains WI-035.	8994ee866ad5517e361ecd700d79c51c42c24366c6b77db0d9327386cd8d2222
evidence/E-047.md	read	consolidate-baseline	Retain wlan_assistant self-wait/output-ready semantics and stock not authoritative lesson in current source/comments; closed boot race narrative can go.	0661c4009d3fab53c1f374d7a4c27cca5fe955446c313048d8be2af9a7ef93f2
evidence/E-048.md	read	consolidate-open	IMS-first emergency routing repair exists; absolute no-bringup/no-service assertions contradicted by E-051/E-068. Keep current WI-020 controlled ordinary-call boundary.	fabcfbc9a4fe6dbd244a7392684afce302a4af419039f168cf044e3987b5c025
evidence/E-049.md	read	delete-stale	Source replacements and tinycompress/header ownership now completed E-190/E-209; preserve coupled ABI/singleton constraints only in source migration note.	bfa6ab3e7a7399c0188bb7c75c691d4912883556c5fcd232efe7f00bc8bfa2c6
evidence/E-050.md	read	delete-stale	Old Huawei privileged/GApps/APN output and 106-count run superseded; CarrierConfig section parsing fixed.	9f969331429b73815d9a5e32f6d9615dcff5ef21731b4e521df77fc98d13dc13
evidence/E-051.md	read	delete-stale	TX/subscription diagnosis and slot topology conclusion superseded by E-052/E-058/E-068; raw call/radio history remains available via WI-020.	2f4a44144c4c32180882e43190cfdf2b0e322b1f0f7472f850f23ff8d67e26fa
evidence/E-052.md	read	consolidate-baseline	Stock TX/Lebara proof useful single hardware/radio baseline; contact diagnosis explicitly withdrawn and next-test state superseded.	c54da3e29edbe20c5b83b920310cbce4d968a0659607b53013c059563b0660b2
evidence/E-053.md	read	delete-stale	Dated Lebara stock control duplicates E-052; current fixture is Chinese CU slot0/CMCC slot1; no current task.	06f7b40e83b2ef0cbc8cff29b7f887cf330840257cde552e190edac5b77cbb6f
evidence/E-054.md	read	delete-stale	Property omission premise explicitly false E-055; DSDS consumer semantics can live at current vendor.prop.	0b7882bf24b56f035c0f3d915dd017860ed49e3d6c3549c4bbdd5955ce4fdcba
evidence/E-055.md	read	delete-closed	Corrects E-054 false absence claim; current explicit DSDS topology and later runtime supersede.	a64b89f8d3aeb2bd23834c7e41ba2b58d54d428004bd1ae197a1cd64648ac01f
evidence/E-056.md	read	delete-stale	Cache e2fs gap closed; FDE metadata discard consumer and grant removed in current fstab/init.te; do not re-add obsolete grant.	0d45644fb5f4183ebf03191f336695c5ecc6f3a177d715754dd0fdb6b596a3c5
evidence/E-057.md	read	delete-closed	Device-local Lineage shared-library XML installed and later runtime verified; missing module whitelist repaired.	1d400b7945b181e3991d5f969934c45067e6d1b200069671e5ebd03908605c70
evidence/E-058.md	read	consolidate-open	Rules out SIM-contact claim; max-RAF swap risk must be assessed against later dual-SIM/airplane runtime rather than old proposed fix.	97b6cd6e88b31d4a3ddb38a7ac6ead129d2f54405c8653e590bb6ff2230ebedc
evidence/E-059.md	read	delete-closed	Wrapper nounset repair complete; latest successful clean build19 source receipt supersedes old static check.	77d88645c75e7cd543adc6c5f596ccf840513a8360fbfcd8a4364faa926de479
evidence/E-060.md	read	delete-stale	VSIM endpoint removal caused permanent retry loop; explicitly superseded by E-115 and WI-075 says all three must remain.	5c78789cd137ad54d6c1c1b5732d3efff24329d2ccd4c502e04ef886f43c01d8
evidence/E-061.md	read	consolidate-open	Direct-user guard implemented; wrapper full Tier3 release still WI-041/WI-050; retain current tier requirement only.	c82db50f743b6608bdb0c4b02311f89fb6d3121c874caa1da1a9bc9fc9c1e755
evidence/E-062.md	read	delete-stale	VSIM structural-removal conclusion explicitly disproved by E-115; live product intentionally retains endpoints.	294a3db939c598dccccde9e4ebd4b8d0cbab07736a51f3c37230b5a4d5667bfa
evidence/E-063.md	read	consolidate-open	Current nvdata fstab omits discard; policy refusal under Enforcing still WI-043. Preserve no-trim invariant/current boundary, delete closed online-discard defect narrative.	dd4921cedc8cdf96d6f9d6b52a31091b5ca9ccec597465e5bc854ed2a7c05c6e
evidence/E-064.md	read	delete-stale	Old incomplete 3-arg verifier/unconditional SIM gates superseded by E-068/E-071 and current E-209; tool fixes complete.	411b00db89e03e1dbfc28322929354904da69685a4fcb51483c45d358feb6f49
evidence/E-065.md	read	consolidate-open	IMS type graph closes previous jar gap; radio_op atomic Java/native/HIDL dependency remains WI-064 and should stay in one current IMS note.	cd3454054c4c8bcbef368a6f58f8f941ced262665a5b1679d06e3bdb585eddf6
evidence/E-066.md	read	delete-stale	All four inventories are dated; current source provider counts E-209, MindTheGapps, APN and wlan_assistant facts replace these snapshots.	5d64ede269c14a6c36a7e89c026cdd47e4e4c4519e519f3861f908daee18d415
evidence/E-068.md	read	consolidate-baseline	Chinese roaming stock voice proof important but fixture reversed vs current; preserve one historical baseline in radio notes, delete former-current fixture advice.	7811caab6eca9cb01c5098f252ba3aa4ef7c6520ba81c98560f8d1b2ed5d0aae
evidence/E-069.md	read	delete-stale	Mostly corrections to already superseded docs; old kernel inspector removed. Keep general pstore/time/claim bounds in current notes only.	8b184d478a5393bfe92314f435f16750e903861ea741112a01dbe349d6fffe78
evidence/E-070.md	read	delete-stale	Gatekeeper blob extraction now superseded by source Gatekeeper runtime E-190/E-209; no retained extraction defect.	86342be2455bda0b5c1b5d97abc0f9443594f0a8620ca9567335538e3ae90c6a
evidence/E-071.md	read	delete-stale	Old final gate contract superseded by E-075/E-079 and later receipt fixes; mandatory every-flash erase claim superseded by owner delegation.	2e81cb61b989b1244adb6346889ce0aa014409cbe2cfa9b6892a538f1fd404ea
evidence/E-072.md	read	delete-stale	Historical prebuilt-kernel/Go-era stage receipt; E-209 current adopted build. Preserve raw stage/manifest fixtures, remove dated narrative.	da4cde35a0a5c8496dc05ddb6985bc24e332b4a127f1b688db44c318f8d65ac0
evidence/E-073.md	read	delete-stale	Old stock pre-flash repeated radio control superseded by E-076 and current opposite-slot fixture.	fce98b156e26f6e6361bf93d40f01f070c2030a2095d0ba4a43de669d7a8b61e
evidence/E-074.md	read	consolidate-baseline	Useful pstore predecessor/advance semantics; current E-209 records actual orderly pstore after source orphan fix. Preserve raw baseline manifest because historical classifier fixtures may consume it.	af4ca377c6bab79970cdcafc2eb0f037f6f5dc0c4e7cc2eff4fa047c9ebbc0b7
evidence/E-075.md	read	delete-closed	Old gate defects repaired and superseded; raw historical tools/fixtures can remain independent of obsolete narrative.	8573782082043ffa16a6f2b47b3be5fa738b6b9c10ec7c2516f2188621978850
evidence/E-076.md	read	delete-stale	Repeated stock control and pstore snapshot superseded by source build19; USB libusb host note already HANDOFF.	d83b15188f08ba9b6bab0d64d6949b313d37ddcf0a75e2335b19adb9954d2eb8
evidence/E-077.md	read	delete-stale	Dated base-registration/150-count/GApps roles old image; dynamic switch later E-103/E-137 resolved; current E-209 supersedes.	5dc293b596ed9e87134fb372aaf968e7c604ac44c70a994dbdfac60bb044b159
evidence/E-078.md	read	delete-closed	Persistent-root restorecon-before-chown repair built/flashed E-083 and retained source; no pending vendor image.	700585fe776be4aeb9dddcb5545d0aeedc8561bea3b4a43782cfb50705913d3f
evidence/E-079.md	read	delete-stale	Old runtime-tool contract and fixed SetupWizard prerequisite no longer current owner policy; current receipt tools/E-209 supersede.	6ac48fecb6ca4fb4939d8434446600eb4a3f297071ef8881d5ea70907fc37da8
evidence/E-080.md	read	delete-closed	MTK destructive APPLY avoided by truthful fixed per-socket shim E-103; E-137 records actual synthetic SET. Remove stale open/no-framework-fix advice.	c09d8f920e496942eada9660dcfea5311cce338817aa433e1ec599811fd26b6d
evidence/E-081.md	read	delete-stale	MTK framework injection strongest-fix premise explicitly overturned by E-084; current source shim handles fixed hardware without upstream injection.	95f3204059388ed3978ac5300565bd2e9b86c41920b9effda5d9e01aab498a42
evidence/E-082.md	read	delete-closed	Generic predecessor tool naming repaired; current HANDOFF/tool header carry the contract.	924cf45e463d000895b7d8ff70ca4bb453e8568ed390c0797106b830d22d6c61
evidence/E-083.md	read	delete-stale	Old restoration/run receipt superseded by E-209; old dynamic-switch open statement closed later E-103/E-137.	84a03904858085a2c61baf19a9f97cbaf40bdadd5299f823bbd77842d2938dc8
evidence/E-084.md	read	delete-stale	Global-RAF workaround lied about slot1 LTE and was replaced by truthful shim E-103; retain only fixed-slot no-hardware-switch constraint in source.	c31f93f8f5395d37e80edac58138ce509066c6a0832a856c2256ed129a4dbe9b
evidence/E-085.md	read	delete-stale	Several causal conclusions explicitly corrected E-086/E-087/E-091; WFO absence and roaming fixture no longer current.	58590a89dae09a41cbaf457bfb69b426fda1a5c15297584d9c4712ba124e3a1a
evidence/E-086.md	read	delete-stale	MAL PDN refusal closed by E-087/E-091; no remaining framework producer hypothesis. Home-SIM actual control retained via E-091 raw artifact.	643c91dfde7ad0e9dc7b33841b0f680e69d755374e490bc654e1c6929fc76d5e
evidence/E-087.md	read	consolidate-baseline	Critical WFC-named RIL build flag also required for cellular IMS; retain current vendor.prop/Vowifi note constraint, remove retracted last-barrier mechanism.	d5ade7a4bf68d7890d7021af49c43e28b8c905ccd943c496b6a7bd82a1d81f66
evidence/E-088.md	read	delete-closed	Analog USB-C EV_SW/audio policy repair owner-tested in E-147; preserve physical analog routing fact in hardware note.	dc4b2e603ecb0c36ada37a778ac351ed7bf2ecd4c2a892686f3dcd3a95637f2b
evidence/E-089.md	read	delete-stale	Old Vodafone-home fixture itself superseded by current CU0/CMCC1; no current blocking SIM/PIN question.	1cee013cd6b4ba05d092c67917bcb1e9802ea59fa0e17c8e53400963e936028b
evidence/E-090.md	read	delete-stale	Old neutered WFO receiver/re-enable-impossible advice superseded by implemented device smali receiver and intent-extra fix; class-presence caveat can remain concise source note.	29271f436c78e71ca7c6973b0ae4d0d8a6b133b5136ca103eb36bf9750af57c6
evidence/E-091.md	read	consolidate-baseline	Preserve actual Vodafone-home IMS registration proof and WFC-named eran_type dependency. Not Chinese IMS proof; 0x8 residual explicitly resolved E-093.	b68dd73f90626d0d584d2739cd1c0149dda591ab5526d4cd125e2296ecef3401
evidence/E-092.md	read	delete-closed	APN password airplane regression fixed by E-095/E-098; proposed env interception wrong, NOT YET FLASHED stale. Current host-timeout soak remains WI-079 separately.	524eccf53a682d396837ee1f6c5922325a4965c2976775743bdaf589be22e548
evidence/E-093.md	read	consolidate-baseline	RDS status0x8 is signal-only no-state update; retain short do-not-misdiagnose note. Legacy socket issue closed E-116/current source.	919ae553384c6fd47ec7a4fa153de92503e18eb32ae796cd6ae80470f274c546
evidence/E-094.md	read	retain-open	Live full logo SHA still 9a742242d30fb03464275afd59706504c1608bd06a276923ea0668bb4361e982, the exact E-094 image missing cert1/cert2 trailer. Tool fixed; device repair not done and no WI tracks it.	e813b09438d91aee3d7d1449e44449df0111a8d84c8eae3d4fcc1ace1ec7ba28
evidence/E-095.md	read	consolidate-baseline	IA ABI sizeof0x58 and GOT callback ownership remain implemented source constraints; runtime first recovery E-098 closes pending claim.	110040fbb22bb937b7d1eddf4c22ba30f62db899b9c7a52d479cbc3429d619c9
evidence/E-096.md	read	delete-stale	Legacy Wi-Fi bind mount and path-impossible conclusion replaced by E-116 vendor-data path; current source type-transition survives lifecycle.	8641aa4f43c92311b929b94b94107b229dc33bc1efdd35d523464a5973ba217d
evidence/E-097.md	read	delete-stale	phoneEx/uicctype repair complete; receiver-cannot-restore conclusion false for current device-local smali. Home-carrier EAP identity remains diagnostic WFC boundary only.	deed488db67332b75b4b9f15185c10826be1f6a9660c28da786e8d8332cdc888
evidence/E-098.md	read	consolidate-baseline	Real password-APN recovery evidence useful; fold into one WI-079 runtime-boundary line while deleting closed E-092 story. New modem-reset/hot-swap scope not tested by this record.	09088fda9cb93306d0b4904c4119c716ef8ca248c4f953a6b186d89efe57738c
evidence/E-099.md	read	delete-stale	Init user-setting clobber and constructor-only WFC cache repaired by current receiver; E-170 intent-extra ordering supersedes property-reread approach.	2d004600abe1186745bd1ee808629480e6cd94cfb5de106c265489e95f9982ac
evidence/E-100.md	read	delete-stale	Explicitly superseded E-101; wrong Vodafone-home fixture and missing trigger guesses should go.	414ea8011224c79a5e8d2c72b879c65fcdd6aed5b96ed24c1169fb8cdfa954d5
evidence/E-101.md	read	consolidate-open	Diagnostic WFC reaches CU home-ePDG DNS boundary; current custom APN merge E-119 replaces whole-file owner patch. Keep only WI-018/055 carrier boundary and real toggle gap if any.	83e4ed851de5c53e4ec5ebbbf65d12eb4c7996f9f1443fb56bc0283bb8bf25cd
evidence/E-102.md	read	delete-stale	Doze/WFO RSSI/debugfs repairs live; early-init recommendation corrected E-140; battery4000/current conversions contradicted E-176/E-187. Current standby energy proof remains WI-056/094.	6e35fba9b7d0009b7d1351907dc35ed6a0fb7f26b620ed6eef007a5f40ee4fc5
evidence/E-103.md	read	consolidate-baseline	Fixed per-socket RAF+synthetic phases implemented and actual SET seen E-137; retain physical slot1 no-LTE invariant; remove pending-build language.	eec21d7e2d86b61e8d28199c695282bd43742056a1b55086c7fe366a11b04c27
evidence/E-104.md	read	delete-stale	4000mAh physically-verified title/full narrative contradicted by E-176 cell3200/back-panel4000; current power_profile=3200. Retain donor-current provenance separately as estimates.	7c8b95b89b9c457fecc4b2675757a5cd982421b7ad2bd61d97dacd0914fabd87
evidence/E-105.md	read	delete-stale	CU/CMCC unavailable policy superseded by owner-requested switches E-170; preserve working MCC/MNC/IMSI filtering and IMS-first-emergency distinction in source.	03bd7a90fe505a1a8d64076b0ab1993eca757fd0955c065c0585a03badaee5df
evidence/E-106.md	read	delete-stale	Explicitly proven mixed-partition false pass and superseded E-110; old 2-file upstream delta now font-only.	82fae73e4dd635d777668d3b1ac89200eabbfabbb474006df15ea60ccba5883e
evidence/E-107.md	read	consolidate-open	Public Coral identity implemented and latest runtime; Play certification UI still WI-058. Retain real board/partition identity and no-attestation-claim boundary only.	573a60b19077a1b529dde939780d718df67e8659fb51238fea02356ba6f8d8f3
evidence/E-110.md	read	delete-stale	Old receipt/gate issues repaired; stock prebuilt kernel and two-upstream-files portions no longer current source stack. E-209 binds actual clean build.	de0a47e527e85e6cad5499aade0b6eab8fe8846842d385ae7f6e986c7194e11a
evidence/E-111.md	read	delete-stale	GBoard custom SetupWizard design removed by MindTheGapps E-143; old first-boot policy defects fixed; latest feature AVC gaps tracked WI-023 separately.	1317e4721b0d84704decf6b01644965564d49050fb81fb77e67666c31afb69ae
evidence/E-112.md	read	delete-stale	Chinese availability=false conclusion explicitly superseded by user instruction and current E-170 matrix; do not suppress current desired switches.	112fd8bc67ee79dabdaf12b1d3260f182a8111059ac74ffe42156543d42b91b9
evidence/E-113.md	read	delete-closed	Dedicated ION memtrack leaf and exact refusal classifications installed by E-136; latest feature denials separate WI-023.	561bf9b97606130a37160258b4bebb50af01115d50e595b031f50705fde5404a
evidence/E-114.md	read	delete-closed	Persisted RESULT fix actually exercised E-138 and current E-209; raw former failures preserved without separate narrative.	8effbce6b14e9d68665dbd8ee0cead6d257a65cba9399501e2ebf2195b5b63ee
evidence/E-115.md	read	consolidate-baseline	Preserve internal VSIM endpoints mandatory ABI fact in WI-075/source. Source and current verifier restored them; old pending-build status obsolete.	78e68291fb13a4abd073759434eae8a443109e9793b6ef5b3977cc43ff0e5ca4
evidence/E-116.md	read	delete-closed	Vendor-data MAL paths installed and wpa directory type_transition fixed E-141/E-142; no legacy bind mount pending.	f27001d204ff33060ee18bbf9dbb3224d3c685afe846edab7ffaeae4b275d149
evidence/E-119.md	read	consolidate-baseline	Current CUSTOM_APNS_FILE ownership and four IMS rows are durable source decisions; latest builds/runtime prove installed merge, old pending release gate stale.	ec79566b7f12bab4614ad76a3d92b096cc87b0020286089bd1fd6358a2deb693
evidence/E-120.md	read	consolidate-open	GOT install/rollback host+target repair adopted; WI-079 owns current in-flight-timeout handset test. Trim detailed resolved installation fault narrative.	c8cdadd9bdb3bdf489fc381a28a61b800a17dc931e083cce4c8e26adde77b572
evidence/E-121.md	read	consolidate-open	Published keys revoked and external-key tooling implemented; no completed Tier3 release still WI-050. E-124 supersedes incomplete property/signer checks; preserve external-key requirement and no-AVB posture.	c5db6c086c4cfb03e6aa053eb2c2b404427670110ac0f2d59263855a92d57624
evidence/E-122.md	read	consolidate-open	Huawei ordinary /product/app packaging live E-137/E-138; store install/account sign-in owner fixture still WI-035. Remove obsolete live-pending packaging claims.	c88ee5113113c17cc6fa1250362a3af5b8940c8d598bde5965fea25d10157614
evidence/E-124.md	read	consolidate-open	Static effective-Q-property/SPKI signer checks implemented; full Tier3 release remains WI-050. Tool headers carry implementation, shrink to actual unmeasured release boundary.	168fb9868b749f92dea4ab280314b8d04dedd515401a145fd3ed29ad01284ef7
evidence/E-127.md	read	retain-open-trim	Tier3 legacy tunnel absence/VoLTE parity remain WI-063; official CVE affects component, but current phone-client remote trigger unproven. Keep tier policy/table and narrow CVE wording; trim fixed tool audit narrative.	27db147e36e10d934a80245ab0d5d1d27e6ac60f00d588a85eb22ac4c07a621d
evidence/E-136.md	read	delete-closed	Wi-Fi sock label fixed then lifecycle type_transition E-141/E-142; prebuilt-kernel/unflashed status obsolete.	9db7ef159de80767830bed8d73af6027b47b932344510009a2f0203aeb37e9fd
evidence/E-137.md	read	consolidate-baseline	Actual truthful synthetic RAF SET both sockets useful closed-switch proof; policy/Huawei defects resolved; preserve no-ipsec_tunnels hardware capability constraint.	28efa6105c4762cd2906e506e28709dfc0e54753a0a40806b3878f28f4f871c1
evidence/E-138.md	read	delete-stale	Old stock-kernel/GBoard/default-dialer/pstore-fault receipt superseded by MindTheGapps/source kernel E-209; Huawei path proof can be cited by raw capture.	bb90e279df074c395808ad390f2fae5e79a14180dad53629106e3fc38aad0562
evidence/E-139.md	read	delete-stale	Old NikGapps wizard faults resolved by MTG E-142/E-143; account refusal causal certainty unsupported beyond observed code30502, keep WI-058 current UI boundary.	ff6caa203dc221b9c7c0cd95c7a07ae6ee92ed2add4f6cdfbe61538036e500ad
evidence/E-140.md	read	delete-closed	debugfs mount timing fixed and real renderer proof E-142; current feature-stage policy gap separate WI-023.	bf1f627e491379ddf53e9c2d6d3b80cd35fdfaff64a3a8688664f57cbc2c0e9c
